year,age_group,cause_of_death,deaths,population,mortality_rate_per_100k
2018,0-24,Cardiomyopathy,254,104008592.0,0.2
2018,0-24,Chronic Ischemic Heart Disease,70,104008592.0,0.1
2018,0-24,Heart Attack,57,104008592.0,0.1
2018,0-24,Heart Failure,61,104008592.0,0.1
2018,25-44,Cardiomyopathy,1479,86843127.0,1.7
2018,25-44,Chronic Ischemic Heart Disease,3251,86843127.0,3.7
2018,25-44,Heart Attack,2110,86843127.0,2.4
2018,25-44,Heart Failure,641,86843127.0,0.7
2018,45-64,Cardiomyopathy,5214,83892606.0,6.2
2018,45-64,Chronic Ischemic Heart Disease,43278,83892606.0,51.6
2018,45-64,Heart Attack,24284,83892606.0,28.9
2018,45-64,Heart Failure,6452,83892606.0,7.7
2018,65+,Cardiomyopathy,14251,52423114.0,27.2
2018,65+,Chronic Ischemic Heart Disease,206740,52423114.0,394.4
2018,65+,Heart Attack,82426,52423114.0,157.2
2018,65+,Heart Failure,76510,52423114.0,145.9
2019,0-24,Cardiomyopathy,249,103340955.0,0.2
2019,0-24,Chronic Ischemic Heart Disease,75,103340955.0,0.1
2019,0-24,Heart Attack,46,103340955.0,0.0
2019,0-24,Heart Failure,65,103340955.0,0.1
2019,25-44,Cardiomyopathy,1431,87493320.0,1.6
2019,25-44,Chronic Ischemic Heart Disease,3309,87493320.0,3.8
2019,25-44,Heart Attack,2009,87493320.0,2.3
2019,25-44,Heart Failure,703,87493320.0,0.8
2019,45-64,Cardiomyopathy,5028,83331220.0,6.0
2019,45-64,Chronic Ischemic Heart Disease,42084,83331220.0,50.5
2019,45-64,Heart Attack,23180,83331220.0,27.8
2019,45-64,Heart Failure,6782,83331220.0,8.1
2019,65+,Cardiomyopathy,13681,54074028.0,25.3
2019,65+,Chronic Ischemic Heart Disease,207278,54074028.0,383.3
2019,65+,Heart Attack,79287,54074028.0,146.6
2019,65+,Heart Failure,78671,54074028.0,145.5
2020,0-24,Cardiomyopathy,240,103732474.0,0.2
2020,0-24,Chronic Ischemic Heart Disease,58,103732474.0,0.1
2020,0-24,Heart Attack,40,103732474.0,0.0
2020,0-24,Heart Failure,71,103732474.0,0.1
2020,25-44,Cardiomyopathy,1498,86831842.0,1.7
2020,25-44,Chronic Ischemic Heart Disease,3668,86831842.0,4.2
2020,25-44,Heart Attack,2381,86831842.0,2.7
2020,25-44,Heart Failure,888,86831842.0,1.0
2020,45-64,Cardiomyopathy,5163,83642175.0,6.2
2020,45-64,Chronic Ischemic Heart Disease,45903,83642175.0,54.9
2020,45-64,Heart Attack,24976,83642175.0,29.9
2020,45-64,Heart Failure,7471,83642175.0,8.9
2020,65+,Cardiomyopathy,13397,52362817.0,25.6
2020,65+,Chronic Ischemic Heart Disease,219726,52362817.0,419.6
2020,65+,Heart Attack,81962,52362817.0,156.5
2020,65+,Heart Failure,77476,52362817.0,148.0
2021,0-24,Cardiomyopathy,274,103700281.0,0.3
2021,0-24,Chronic Ischemic Heart Disease,79,103700281.0,0.1
2021,0-24,Heart Attack,50,103700281.0,0.0
2021,0-24,Heart Failure,54,103700281.0,0.1
2021,25-44,Cardiomyopathy,1564,88812699.0,1.8
2021,25-44,Chronic Ischemic Heart Disease,3836,88812699.0,4.3
2021,25-44,Heart Attack,2475,88812699.0,2.8
2021,25-44,Heart Failure,925,88812699.0,1.0
2021,45-64,Cardiomyopathy,5009,83488751.0,6.0
2021,45-64,Chronic Ischemic Heart Disease,45755,83488751.0,54.8
2021,45-64,Heart Attack,25079,83488751.0,30.0
2021,45-64,Heart Failure,7817,83488751.0,9.4
2021,65+,Cardiomyopathy,13085,55892014.0,23.4
2021,65+,Chronic Ischemic Heart Disease,212348,55892014.0,379.9
2021,65+,Heart Attack,81656,55892014.0,146.1
2021,65+,Heart Failure,76296,55892014.0,136.5
2022,0-24,Cardiomyopathy,232,103580425.0,0.2
2022,0-24,Chronic Ischemic Heart Disease,60,103580425.0,0.1
2022,0-24,Heart Attack,52,103580425.0,0.1
2022,0-24,Heart Failure,56,103580425.0,0.1
2022,25-44,Cardiomyopathy,1515,89280908.0,1.7
2022,25-44,Chronic Ischemic Heart Disease,3590,89280908.0,4.0
2022,25-44,Heart Attack,2279,89280908.0,2.6
2022,25-44,Heart Failure,965,89280908.0,1.1
2022,45-64,Cardiomyopathy,4760,82603914.0,5.8
2022,45-64,Chronic Ischemic Heart Disease,43915,82603914.0,53.2
2022,45-64,Heart Attack,22945,82603914.0,27.8
2022,45-64,Heart Failure,7808,82603914.0,9.5
2022,65+,Cardiomyopathy,13197,57822315.0,22.8
2022,65+,Chronic Ischemic Heart Disease,215867,57822315.0,373.3
2022,65+,Heart Attack,78882,57822315.0,136.4
2022,65+,Heart Failure,79194,57822315.0,137.0
2023,0-24,Cardiomyopathy,227,103123779.0,0.2
2023,0-24,Chronic Ischemic Heart Disease,63,103123779.0,0.1
2023,0-24,Heart Attack,45,103123779.0,0.0
2023,0-24,Heart Failure,64,103123779.0,0.1
2023,25-44,Cardiomyopathy,1440,90088346.0,1.6
2023,25-44,Chronic Ischemic Heart Disease,3589,90088346.0,4.0
2023,25-44,Heart Attack,1885,90088346.0,2.1
2023,25-44,Heart Failure,887,90088346.0,1.0
2023,45-64,Cardiomyopathy,4469,82395715.0,5.4
2023,45-64,Chronic Ischemic Heart Disease,41483,82395715.0,50.3
2023,45-64,Heart Attack,20325,82395715.0,24.7
2023,45-64,Heart Failure,7609,82395715.0,9.2
2023,65+,Cardiomyopathy,12990,59307056.0,21.9
2023,65+,Chronic Ischemic Heart Disease,207321,59307056.0,349.6
2023,65+,Heart Attack,71371,59307056.0,120.3
2023,65+,Heart Failure,81321,59307056.0,137.1
2024,0-24,Cardiomyopathy,237,104200271.0,0.2
2024,0-24,Chronic Ischemic Heart Disease,72,104200271.0,0.1
2024,0-24,Heart Attack,47,104200271.0,0.0
2024,0-24,Heart Failure,58,104200271.0,0.1
2024,25-44,Cardiomyopathy,1440,92155290.0,1.6
2024,25-44,Chronic Ischemic Heart Disease,3601,92155290.0,3.9
2024,25-44,Heart Attack,1975,92155290.0,2.1
2024,25-44,Heart Failure,907,92155290.0,1.0
2024,45-64,Cardiomyopathy,4277,82510146.0,5.2
2024,45-64,Chronic Ischemic Heart Disease,39431,82510146.0,47.8
2024,45-64,Heart Attack,19257,82510146.0,23.3
2024,45-64,Heart Failure,7513,82510146.0,9.1
2024,65+,Cardiomyopathy,12635,61245283.0,20.6
2024,65+,Chronic Ischemic Heart Disease,208014,61245283.0,339.6
2024,65+,Heart Attack,69349,61245283.0,113.2
2024,65+,Heart Failure,83789,61245283.0,136.8
