year,state,deaths,population,mortality_rate_per_100k
2018,Alabama,13473.0,4887871.0,275.6
2018,Alaska,815.0,737438.0,110.5
2018,Arizona,12455.0,7171646.0,173.7
2018,Arkansas,8171.0,3013825.0,271.1
2018,California,62547.0,39557045.0,158.1
2018,Colorado,7370.0,5695564.0,129.4
2018,Connecticut,7205.0,3572665.0,201.7
2018,Delaware,2030.0,967171.0,209.9
2018,District of Columbia,1295.0,702455.0,184.4
2018,Florida,47027.0,21299325.0,220.8
2018,Georgia,18986.0,10519475.0,180.5
2018,Hawaii,2570.0,1420491.0,180.9
2018,Idaho,3122.0,1754208.0,178.0
2018,Illinois,25755.0,12741080.0,202.1
2018,Indiana,14532.0,6691878.0,217.2
2018,Iowa,7185.0,3156145.0,227.7
2018,Kansas,5823.0,2911505.0,200.0
2018,Kentucky,10697.0,4468402.0,239.4
2018,Louisiana,11340.0,4659978.0,243.3
2018,Maine,2965.0,1338404.0,221.5
2018,Maryland,11683.0,6042718.0,193.3
2018,Massachusetts,12036.0,6902149.0,174.4
2018,Michigan,25354.0,9995915.0,253.6
2018,Minnesota,8408.0,5611179.0,149.8
2018,Mississippi,7758.0,2986530.0,259.8
2018,Missouri,14893.0,6126452.0,243.1
2018,Montana,2347.0,1062305.0,220.9
2018,Nebraska,3539.0,1929268.0,183.4
2018,Nevada,6393.0,3034392.0,210.7
2018,New Hampshire,2786.0,1356458.0,205.4
2018,New Jersey,19047.0,8908520.0,213.8
2018,New Mexico,3935.0,2095428.0,187.8
2018,New York,44499.0,19542209.0,227.7
2018,North Carolina,19222.0,10383620.0,185.1
2018,North Dakota,1361.0,760077.0,179.1
2018,Ohio,29220.0,11689442.0,250.0
2018,Oklahoma,10634.0,3943079.0,269.7
2018,Oregon,6820.0,4190713.0,162.7
2018,Pennsylvania,32768.0,12807060.0,255.9
2018,Rhode Island,2411.0,1057315.0,228.0
2018,South Carolina,10464.0,5084127.0,205.8
2018,South Dakota,1796.0,882235.0,203.6
2018,Tennessee,16417.0,6770010.0,242.5
2018,Texas,46763.0,28701845.0,162.9
2018,Utah,3749.0,3161105.0,118.6
2018,Vermont,1338.0,626299.0,213.6
2018,Virginia,14600.0,8517685.0,171.4
2018,Washington,11655.0,7535591.0,154.7
2018,West Virginia,5007.0,1805832.0,277.3
2018,Wisconsin,12061.0,5813568.0,207.5
2018,Wyoming,1054.0,577737.0,182.4
2019,Alabama,13448.0,4903185.0,274.3
2019,Alaska,843.0,731545.0,115.2
2019,Arizona,12587.0,7278717.0,172.9
2019,Arkansas,8669.0,3017804.0,287.3
2019,California,62394.0,39512223.0,157.9
2019,Colorado,7762.0,5758736.0,134.8
2019,Connecticut,7354.0,3565287.0,206.3
2019,Delaware,2053.0,973764.0,210.8
2019,District of Columbia,1187.0,705749.0,168.2
2019,Florida,47144.0,21477737.0,219.5
2019,Georgia,19543.0,10617423.0,184.1
2019,Hawaii,2503.0,1415872.0,176.8
2019,Idaho,3061.0,1787065.0,171.3
2019,Illinois,25690.0,12671821.0,202.7
2019,Indiana,14555.0,6732219.0,216.2
2019,Iowa,7505.0,3155070.0,237.9
2019,Kansas,6140.0,2913314.0,210.8
2019,Kentucky,10742.0,4467673.0,240.4
2019,Louisiana,11302.0,4648794.0,243.1
2019,Maine,2940.0,1344212.0,218.7
2019,Maryland,11770.0,6045680.0,194.7
2019,Massachusetts,11761.0,6892503.0,170.6
2019,Michigan,25547.0,9986857.0,255.8
2019,Minnesota,8401.0,5639632.0,149.0
2019,Mississippi,7997.0,2976149.0,268.7
2019,Missouri,15018.0,6137428.0,244.7
2019,Montana,2290.0,1068778.0,214.3
2019,Nebraska,3540.0,1934408.0,183.0
2019,Nevada,6864.0,3080156.0,222.8
2019,New Hampshire,2707.0,1359711.0,199.1
2019,New Jersey,18716.0,8882190.0,210.7
2019,New Mexico,4245.0,2096829.0,202.4
2019,New York,43806.0,19453561.0,225.2
2019,North Carolina,19617.0,10488084.0,187.0
2019,North Dakota,1448.0,762062.0,190.0
2019,Ohio,29160.0,11689100.0,249.5
2019,Oklahoma,10960.0,3956971.0,277.0
2019,Oregon,7128.0,4217737.0,169.0
2019,Pennsylvania,32299.0,12801989.0,252.3
2019,Rhode Island,2404.0,1059361.0,226.9
2019,South Carolina,10579.0,5148714.0,205.5
2019,South Dakota,1840.0,884659.0,208.0
2019,Tennessee,16814.0,6829174.0,246.2
2019,Texas,46139.0,28995881.0,159.1
2019,Utah,3882.0,3205958.0,121.1
2019,Vermont,1368.0,623989.0,219.2
2019,Virginia,15062.0,8535519.0,176.5
2019,Washington,11862.0,7614893.0,155.8
2019,West Virginia,5087.0,1792147.0,283.8
2019,Wisconsin,12241.0,5822434.0,210.2
2019,Wyoming,1067.0,578759.0,184.4
2020,Alabama,14739.0,4921532.0,299.5
2020,Alaska,915.0,731158.0,125.1
2020,Arizona,14196.0,7421401.0,191.3
2020,Arkansas,8621.0,3030522.0,284.5
2020,California,66538.0,39368078.0,169.0
2020,Colorado,8023.0,5807719.0,138.1
2020,Connecticut,7110.0,3557006.0,199.9
2020,Delaware,2171.0,986809.0,220.0
2020,District of Columbia,1350.0,712816.0,189.4
2020,Florida,49287.0,21733312.0,226.8
2020,Georgia,21116.0,10710017.0,197.2
2020,Hawaii,2623.0,1407006.0,186.4
2020,Idaho,3191.0,1826913.0,174.7
2020,Illinois,27460.0,12587530.0,218.2
2020,Indiana,15169.0,6754953.0,224.6
2020,Iowa,7499.0,3163561.0,237.0
2020,Kansas,6264.0,2913805.0,215.0
2020,Kentucky,11345.0,4477251.0,253.4
2020,Louisiana,12255.0,4645318.0,263.8
2020,Maine,3035.0,1350141.0,224.8
2020,Maryland,12624.0,6055802.0,208.5
2020,Massachusetts,11781.0,6893574.0,170.9
2020,Michigan,27127.0,9966555.0,272.2
2020,Minnesota,8562.0,5657342.0,151.3
2020,Mississippi,8809.0,2966786.0,296.9
2020,Missouri,15934.0,6151548.0,259.0
2020,Montana,2424.0,1080577.0,224.3
2020,Nebraska,3532.0,1937552.0,182.3
2020,Nevada,7285.0,3138259.0,232.1
2020,New Hampshire,2814.0,1366275.0,206.0
2020,New Jersey,19744.0,8882371.0,222.3
2020,New Mexico,4219.0,2106319.0,200.3
2020,New York,48546.0,19336776.0,251.1
2020,North Carolina,20373.0,10600823.0,192.2
2020,North Dakota,1449.0,765309.0,189.3
2020,Ohio,30547.0,11693217.0,261.2
2020,Oklahoma,11758.0,3980783.0,295.4
2020,Oregon,7371.0,4241507.0,173.8
2020,Pennsylvania,32936.0,12783254.0,257.6
2020,Rhode Island,2319.0,1057125.0,219.4
2020,South Carolina,11385.0,5218040.0,218.2
2020,South Dakota,1820.0,892717.0,203.9
2020,Tennessee,17943.0,6886834.0,260.5
2020,Texas,50281.0,29360759.0,171.3
2020,Utah,4251.0,3249879.0,130.8
2020,Vermont,1521.0,623347.0,244.0
2020,Virginia,15678.0,8590563.0,182.5
2020,Washington,12084.0,7693612.0,157.1
2020,West Virginia,5123.0,1784787.0,287.0
2020,Wisconsin,12641.0,5832655.0,216.7
2020,Wyoming,1174.0,582328.0,201.6
2021,Alabama,15173.0,5039877.0,301.1
2021,Alaska,1011.0,732673.0,138.0
2021,Arizona,14550.0,7276316.0,200.0
2021,Arkansas,8547.0,3025891.0,282.5
2021,California,65471.0,39237836.0,166.9
2021,Colorado,8081.0,5812069.0,139.0
2021,Connecticut,6731.0,3605597.0,186.7
2021,Delaware,2183.0,1003384.0,217.6
2021,District of Columbia,1288.0,670050.0,192.2
2021,Florida,50100.0,21781128.0,230.0
2021,Georgia,21931.0,10799566.0,203.1
2021,Hawaii,2651.0,1441553.0,183.9
2021,Idaho,3429.0,1900923.0,180.4
2021,Illinois,26291.0,12671469.0,207.5
2021,Indiana,15209.0,6805985.0,223.5
2021,Iowa,7704.0,3193079.0,241.3
2021,Kansas,6315.0,2934582.0,215.2
2021,Kentucky,11697.0,4509394.0,259.4
2021,Louisiana,12564.0,4624047.0,271.7
2021,Maine,3357.0,1372247.0,244.6
2021,Maryland,12138.0,6165129.0,196.9
2021,Massachusetts,11947.0,6984723.0,171.0
2021,Michigan,26664.0,10050811.0,265.3
2021,Minnesota,8568.0,5707390.0,150.1
2021,Mississippi,8837.0,2949965.0,299.6
2021,Missouri,15713.0,6168187.0,254.7
2021,Montana,2536.0,1104271.0,229.7
2021,Nebraska,3776.0,1963692.0,192.3
2021,Nevada,7352.0,3143991.0,233.8
2021,New Hampshire,2845.0,1388992.0,204.8
2021,New Jersey,18508.0,9267130.0,199.7
2021,New Mexico,4182.0,2115877.0,197.6
2021,New York,42434.0,19835913.0,213.9
2021,North Carolina,21302.0,10551162.0,201.9
2021,North Dakota,1442.0,774948.0,186.1
2021,Ohio,30578.0,11780017.0,259.6
2021,Oklahoma,12158.0,3986639.0,305.0
2021,Oregon,7823.0,4246155.0,184.2
2021,Pennsylvania,32478.0,12964056.0,250.5
2021,Rhode Island,2359.0,1095610.0,215.3
2021,South Carolina,12118.0,5190705.0,233.5
2021,South Dakota,1695.0,895376.0,189.3
2021,Tennessee,18468.0,6975218.0,264.8
2021,Texas,50584.0,29527941.0,171.3
2021,Utah,4275.0,3337975.0,128.1
2021,Vermont,1585.0,645570.0,245.5
2021,Virginia,16654.0,8642274.0,192.7
2021,Washington,12789.0,7738692.0,165.3
2021,West Virginia,5549.0,1782959.0,311.2
2021,Wisconsin,12791.0,5895908.0,216.9
