year,age_group,population
2018,0-24,104008592.0
2018,25-44,86843127.0
2018,45-64,83892606.0
2018,65+,52423114.0
2019,0-24,103340955.0
2019,25-44,87493320.0
2019,45-64,83331220.0
2019,65+,54074028.0
2020,0-24,103732474.0
2020,25-44,86831842.0
2020,45-64,83642175.0
2020,65+,52362817.0
2021,0-24,103700281.0
2021,25-44,88812699.0
2021,45-64,83488751.0
2021,65+,55892014.0
2022,0-24,103580425.0
2022,25-44,89280908.0
2022,45-64,82603914.0
2022,65+,57822315.0
2023,0-24,103123779.0
2023,25-44,90088346.0
2023,45-64,82395715.0
2023,65+,59307056.0
2024,0-24,104200271.0
2024,25-44,92155290.0
2024,45-64,82510146.0
2024,65+,61245283.0
