year,sex,deaths,population,mortality_rate_per_100k
2018,Female,1553.0,52087487.0,3.0
2018,Male,4321.0,72502949.0,6.0
2019,Female,1511.0,47845253.0,3.2
2019,Male,4164.0,72305353.0,5.8
2020,Female,1440.0,46983203.0,3.1
2020,Male,4379.0,74423458.0,5.9
2021,Female,1414.0,50092693.0,2.8
2021,Male,4328.0,76171410.0,5.7
2022,Female,1433.0,50517065.0,2.8
2022,Male,4020.0,73607357.0,5.5
2023,Female,1300.0,47688762.0,2.7
2023,Male,3766.0,72986594.0,5.2
2024,Female,1294.0,50738969.0,2.6
2024,Male,3589.0,72939495.0,4.9
