year,state,deaths,population,mortality_rate_per_100k
2018,Alabama,72.0,1246472.0,5.8
2018,Arizona,100.0,1717067.0,5.8
2018,Arkansas,29.0,366385.0,7.9
2018,California,869.0,23848145.0,3.6
2018,Colorado,42.0,1056696.0,4.0
2018,Connecticut,29.0,486893.0,6.0
2018,Florida,524.0,9587061.0,5.5
2018,Georgia,221.0,4812326.0,4.6
2018,Hawaii,26.0,174078.0,14.9
2018,Idaho,10.0,100396.0,10.0
2018,Illinois,261.0,6694228.0,3.9
2018,Indiana,150.0,2113483.0,7.1
2018,Iowa,24.0,393152.0,6.1
2018,Kansas,20.0,182060.0,11.0
2018,Kentucky,55.0,848109.0,6.5
2018,Louisiana,81.0,1436338.0,5.6
2018,Maine,10.0,102387.0,9.8
2018,Maryland,148.0,2009075.0,7.4
2018,Massachusetts,58.0,1385974.0,4.2
2018,Michigan,264.0,3930764.0,6.7
2018,Minnesota,77.0,1462828.0,5.3
2018,Mississippi,50.0,740913.0,6.7
2018,Missouri,145.0,2365750.0,6.1
2018,Nevada,34.0,385962.0,8.8
2018,New Hampshire,10.0,104235.0,9.6
2018,New Jersey,152.0,3020558.0,5.0
2018,New York,263.0,7785458.0,3.4
2018,North Carolina,224.0,4710186.0,4.8
2018,Ohio,304.0,5263240.0,5.8
2018,Oklahoma,15.0,238648.0,6.3
2018,Oregon,58.0,801972.0,7.2
2018,Pennsylvania,288.0,5827808.0,4.9
2018,South Carolina,158.0,1936154.0,8.2
2018,Tennessee,155.0,3072446.0,5.0
2018,Texas,455.0,16974368.0,2.7
2018,Utah,31.0,310181.0,10.0
2018,Virginia,153.0,2781597.0,5.5
2018,Washington,207.0,3001290.0,6.9
2018,West Virginia,27.0,125636.0,21.5
2018,Wisconsin,75.0,1190117.0,6.3
2019,Alabama,91.0,1242954.0,7.3
2019,Arizona,112.0,2186865.0,5.1
2019,Arkansas,23.0,370032.0,6.2
2019,California,849.0,23753361.0,3.6
2019,Colorado,44.0,706470.0,6.2
2019,Connecticut,31.0,247875.0,12.5
2019,Delaware,14.0,64598.0,21.7
2019,District of Columbia,10.0,33520.0,29.8
2019,Florida,492.0,9632104.0,5.1
2019,Georgia,194.0,4829770.0,4.0
2019,Hawaii,20.0,87900.0,22.8
2019,Illinois,286.0,5785512.0,4.9
2019,Indiana,161.0,2562078.0,6.3
2019,Iowa,41.0,598305.0,6.9
2019,Kansas,16.0,181402.0,8.8
2019,Kentucky,48.0,877222.0,5.5
2019,Louisiana,62.0,1161669.0,5.3
2019,Maryland,127.0,1995490.0,6.4
2019,Massachusetts,69.0,1376388.0,5.0
2019,Michigan,218.0,4489254.0,4.9
2019,Minnesota,48.0,713191.0,6.7
2019,Mississippi,48.0,560254.0,8.6
2019,Missouri,121.0,1938693.0,6.2
2019,Nevada,28.0,388736.0,7.2
2019,New Hampshire,12.0,105037.0,11.4
2019,New Jersey,164.0,2989544.0,5.5
2019,New York,222.0,7705075.0,2.9
2019,North Carolina,223.0,4029619.0,5.5
2019,Ohio,306.0,6004450.0,5.1
2019,Oklahoma,20.0,493694.0,4.1
2019,Oregon,48.0,515928.0,9.3
2019,Pennsylvania,283.0,5036967.0,5.6
2019,South Carolina,110.0,1631161.0,6.7
2019,Tennessee,154.0,3087201.0,5.0
2019,Texas,461.0,15030275.0,3.1
2019,Utah,34.0,540443.0,6.3
2019,Virginia,152.0,2768545.0,5.5
2019,Washington,197.0,2406439.0,8.2
2019,West Virginia,13.0,123655.0,10.5
2019,Wisconsin,123.0,1898930.0,6.5
2020,Alabama,96.0,1553119.0,6.2
2020,Arizona,128.0,2218139.0,5.8
2020,Arkansas,12.0,186037.0,6.5
2020,California,898.0,23612561.0,3.8
2020,Colorado,49.0,1067666.0,4.6
2020,Connecticut,22.0,247336.0,8.9
2020,Delaware,15.0,65399.0,22.9
2020,Florida,509.0,9719069.0,5.2
2020,Georgia,203.0,4135982.0,4.9
2020,Hawaii,18.0,86739.0,20.8
2020,Illinois,274.0,5722677.0,4.8
2020,Indiana,204.0,2974125.0,6.9
2020,Iowa,48.0,591504.0,8.1
2020,Kansas,20.0,178681.0,11.2
2020,Kentucky,59.0,870388.0,6.8
2020,Louisiana,66.0,861268.0,7.7
2020,Maryland,134.0,1991238.0,6.7
2020,Massachusetts,54.0,1365247.0,4.0
2020,Michigan,233.0,3866025.0,6.0
2020,Minnesota,87.0,1850822.0,4.7
2020,Mississippi,34.0,352870.0,9.6
2020,Missouri,106.0,1594864.0,6.6
2020,Nebraska,11.0,118632.0,9.3
2020,Nevada,33.0,392598.0,8.4
2020,New Hampshire,10.0,105420.0,9.5
2020,New Jersey,144.0,2952216.0,4.9
2020,New York,248.0,7611150.0,3.3
2020,North Carolina,248.0,4764075.0,5.2
2020,Ohio,285.0,5207431.0,5.5
2020,Oklahoma,25.0,490996.0,5.1
2020,Oregon,68.0,1081714.0,6.3
2020,Pennsylvania,254.0,4990111.0,5.1
2020,Rhode Island,10.0,71125.0,14.1
2020,South Carolina,103.0,1309690.0,7.9
2020,Tennessee,148.0,3099288.0,4.8
2020,Texas,487.0,17311200.0,2.8
2020,Utah,43.0,320518.0,13.4
2020,Virginia,163.0,2761886.0,5.9
2020,Washington,160.0,2414222.0,6.6
2020,West Virginia,18.0,121593.0,14.8
2020,Wisconsin,92.0,1171040.0,7.9
2021,Alabama,50.0,929882.0,5.4
2021,Arizona,117.0,2196033.0,5.3
2021,Arkansas,23.0,366243.0,6.3
2021,California,892.0,23566795.0,3.8
2021,Colorado,19.0,347352.0,5.5
2021,Connecticut,29.0,479587.0,6.0
2021,Florida,542.0,12432369.0,4.4
2021,Georgia,202.0,4170326.0,4.8
2021,Hawaii,30.0,175848.0,17.1
2021,Idaho,22.0,223478.0,9.8
2021,Illinois,259.0,5775814.0,4.5
2021,Indiana,194.0,2551375.0,7.6
2021,Iowa,61.0,804567.0,7.6
2021,Kansas,15.0,180695.0,8.3
2021,Kentucky,50.0,1156242.0,4.3
2021,Louisiana,78.0,1159486.0,6.7
2021,Maryland,95.0,1625426.0,5.8
2021,Massachusetts,58.0,1394672.0,4.2
2021,Michigan,239.0,4497527.0,5.3
2021,Minnesota,68.0,1487596.0,4.6
2021,Mississippi,47.0,553216.0,8.5
2021,Missouri,116.0,1938011.0,6.0
2021,Nevada,29.0,417655.0,6.9
2021,New Hampshire,11.0,108516.0,10.1
2021,New Jersey,144.0,3110181.0,4.6
2021,New York,248.0,9096680.0,2.7
2021,North Carolina,245.0,4755455.0,5.2
2021,Ohio,316.0,6023863.0,5.2
2021,Oklahoma,61.0,954832.0,6.4
2021,Oregon,55.0,523072.0,10.5
2021,Pennsylvania,287.0,5879688.0,4.9
2021,South Carolina,87.0,1317275.0,6.6
2021,Tennessee,147.0,2702249.0,5.4
2021,Texas,438.0,15353467.0,2.9
2021,Utah,20.0,154974.0,12.9
2021,Virginia,185.0,3371912.0,5.5
2021,Washington,165.0,3058653.0,5.4
2021,West Virginia,29.0,236849.0,12.2
2021,Wisconsin,69.0,1186242.0,5.8
2022,Alabama,54.0,1264744.0,4.3
2022,Arizona,122.0,2200761.0,5.5
2022,Arkansas,23.0,378312.0,6.1
2022,California,847.0,23372090.0,3.6
2022,Colorado,33.0,683856.0,4.8
2022,Connecticut,19.0,251227.0,7.6
2022,Florida,486.0,9930408.0,4.9
2022,Georgia,179.0,4180120.0,4.3
2022,Hawaii,34.0,173458.0,19.6
2022,Illinois,240.0,5692515.0,4.2
2022,Indiana,211.0,2988783.0,7.1
2022,Iowa,33.0,385753.0,8.6
2022,Kansas,18.0,175677.0,10.2
2022,Kentucky,34.0,587521.0,5.8
2022,Louisiana,68.0,1136891.0,6.0
2022,Maryland,83.0,1201764.0,6.9
2022,Massachusetts,61.0,1373705.0,4.4
2022,Michigan,219.0,4446718.0,4.9
2022,Minnesota,66.0,1398094.0,4.7
2022,Mississippi,40.0,349534.0,11.4
2022,Missouri,96.0,1558324.0,6.2
2022,Nebraska,22.0,250000.0,8.8
2022,Nevada,51.0,625618.0,8.2
2022,New Jersey,152.0,3672081.0,4.1
2022,New York,218.0,8942138.0,2.4
2022,North Carolina,236.0,4785877.0,4.9
2022,Ohio,286.0,5198704.0,5.5
2022,Oklahoma,25.0,500190.0,5.0
2022,Oregon,75.0,1081317.0,6.9
2022,Pennsylvania,270.0,5782434.0,4.7
2022,South Carolina,94.0,1325808.0,7.1
2022,Tennessee,144.0,2222366.0,6.5
2022,Texas,438.0,17750250.0,2.5
2022,Utah,51.0,808471.0,6.3
2022,Virginia,165.0,2773920.0,5.9
2022,Washington,144.0,3053780.0,4.7
2022,West Virginia,14.0,118945.0,11.8
2022,Wisconsin,102.0,1502268.0,6.8
2023,Alabama,58.0,1273029.0,4.6
2023,Arizona,98.0,1793272.0,5.5
2023,Arkansas,24.0,363353.0,6.6
2023,California,731.0,23273779.0,3.1
2023,Colorado,53.0,1044496.0,5.1
2023,Connecticut,19.0,246341.0,7.7
2023,Delaware,16.0,67598.0,23.7
2023,Florida,501.0,10097733.0,5.0
2023,Georgia,156.0,4976297.0,3.1
2023,Hawaii,25.0,172264.0,14.5
2023,Illinois,202.0,4832244.0,4.2
2023,Indiana,202.0,2989299.0,6.8
2023,Iowa,42.0,382451.0,11.0
2023,Kansas,18.0,171887.0,10.5
2023,Kentucky,29.0,560918.0,5.2
2023,Louisiana,32.0,529303.0,6.0
2023,Maine,10.0,100242.0,10.0
2023,Maryland,122.0,2396844.0,5.1
2023,Massachusetts,53.0,1358926.0,3.9
2023,Michigan,199.0,4404353.0,4.5
2023,Minnesota,56.0,1101403.0,5.1
2023,Mississippi,38.0,345378.0,11.0
2023,Missouri,95.0,1908643.0,5.0
2023,Nebraska,12.0,115348.0,10.4
2023,Nevada,55.0,596705.0,9.2
2023,New Jersey,120.0,3656407.0,3.3
2023,New York,204.0,7586867.0,2.7
2023,North Carolina,217.0,3405322.0,6.4
2023,Ohio,218.0,4443526.0,4.9
2023,Oklahoma,39.0,693132.0,5.6
2023,Oregon,55.0,771688.0,7.1
2023,Pennsylvania,256.0,5753864.0,4.4
2023,South Carolina,128.0,2015122.0,6.4
2023,Tennessee,143.0,2230656.0,6.4
2023,Texas,445.0,18003952.0,2.5
2023,Utah,18.0,154614.0,11.6
2023,Virginia,131.0,2770704.0,4.7
2023,Washington,151.0,2438765.0,6.2
2023,West Virginia,12.0,116082.0,10.3
2023,Wisconsin,83.0,1532549.0,5.4
2024,Alabama,62.0,1280394.0,4.8
2024,Alaska,10.0,43769.0,22.8
2024,Arizona,102.0,2248949.0,4.5
2024,Arkansas,12.0,181945.0,6.6
2024,California,711.0,23514934.0,3.0
2024,Colorado,21.0,333541.0,6.3
2024,Connecticut,16.0,243674.0,6.6
2024,Florida,466.0,13271065.0,3.5
2024,Georgia,143.0,3499075.0,4.1
2024,Hawaii,19.0,86124.0,22.1
2024,Illinois,221.0,5703988.0,3.9
2024,Indiana,181.0,2098426.0,8.6
2024,Iowa,34.0,380819.0,8.9
2024,Kansas,28.0,341800.0,8.2
2024,Kentucky,43.0,854298.0,5.0
2024,Louisiana,37.0,555070.0,6.7
2024,Maryland,129.0,2010770.0,6.4
2024,Massachusetts,41.0,1347006.0,3.0
2024,Michigan,192.0,4448082.0,4.3
2024,Minnesota,51.0,1053223.0,4.8
2024,Mississippi,54.0,707038.0,7.6
2024,Missouri,104.0,1903842.0,5.5
2024,Nebraska,10.0,113365.0,8.8
2024,Nevada,50.0,606122.0,8.2
2024,New Hampshire,15.0,103769.0,14.5
2024,New Jersey,79.0,1834309.0,4.3
2024,New Mexico,12.0,122476.0,9.8
2024,New York,235.0,8934077.0,2.6
2024,North Carolina,225.0,4909091.0,4.6
2024,Ohio,221.0,4445852.0,5.0
2024,Oklahoma,27.0,465521.0,5.8
2024,Oregon,70.0,768777.0,9.1
2024,Pennsylvania,220.0,5771698.0,3.8
2024,South Carolina,111.0,1358107.0,8.2
2024,Tennessee,136.0,2244738.0,6.1
2024,Texas,400.0,18477031.0,2.2
2024,Utah,28.0,362077.0,7.7
2024,Virginia,147.0,2778903.0,5.3
2024,Washington,143.0,3033572.0,4.7
2024,West Virginia,17.0,114178.0,14.9
2024,Wisconsin,60.0,1126969.0,5.3
