year,months,deaths
2018,January,169
2018,February,121
2018,March,153
2018,April,126
2018,May,132
2018,June,162
2018,July,163
2018,August,162
2018,September,145
2018,October,135
2018,November,118
2018,December,147
2019,January,134
2019,February,143
2019,March,161
2019,April,148
2019,May,128
2019,June,153
2019,July,120
2019,August,139
2019,September,140
2019,October,142
2019,November,123
2019,December,149
2020,January,150
2020,February,139
2020,March,157
2020,April,144
2020,May,139
2020,June,147
2020,July,164
2020,August,148
2020,September,143
2020,October,131
2020,November,136
2020,December,140
2021,January,171
2021,February,139
2021,March,148
2021,April,150
2021,May,144
2021,June,153
2021,July,185
2021,August,166
2021,September,159
2021,October,127
2021,November,146
2021,December,150
2022,January,163
2022,February,151
2022,March,151
2022,April,132
2022,May,138
2022,June,139
2022,July,165
2022,August,150
2022,September,128
2022,October,144
2022,November,120
2022,December,166
2023,January,142
2023,February,137
2023,March,136
2023,April,144
2023,May,128
2023,June,134
2023,July,138
2023,August,147
2023,September,148
2023,October,136
2023,November,131
2023,December,146
2024,January,163
2024,February,152
2024,March,141
2024,April,145
2024,May,141
2024,June,136
2024,July,140
2024,August,136
2024,September,116
2024,October,132
2024,November,125
2024,December,150
